bodyType,color,condition,drive,engineDisplacement,enginePower,equipment,fuelType,mileage,modelDate,name,numberOfDoors,owners,price,productionDate,rabber,technicalPassport,vehicleTransmission
2,1,2,1,2.0,150,1,2,70000,7,18i,5,2,945000,5,0,1,1
1,3,2,1,2.0,184,1,2,89944,8,320i,4,1,1026000,7,0,1,2
7,8,2,1,2.5,163,1,1,381000,19,525d,5,3,280000,17,1,1,1
4,3,2,2,3.0,313,1,1,60000,8,640d,2,3,1600000,6,0,1,1
3,1,2,1,1.6,136,1,2,209000,8,116i,5,3,620000,6,0,1,1
1,1,2,1,1.6,136,1,2,181000,8,316i,4,2,910000,6,0,1,1
1,1,2,2,4.4,407,1,2,276092,11,750Li,4,1,850000,9,0,1,1
2,8,2,2,3.0,306,1,1,197000,12,40d,5,2,1200000,8,0,1,1
1,3,2,1,4.9,400,1,2,213000,21,седан,4,3,1100000,20,1,1,2
2,1,2,2,3.0,272,1,2,204300,13,внедорожник,5,3,750000,12,0,1,1
3,1,2,1,1.6,102,1,2,328000,29,316i,3,3,225000,21,0,1,2
2,1,2,2,3.0,306,1,2,170000,12,35i,5,1,935000,11,0,1,1
1,1,2,2,3.0,400,1,1,6700,4,750Ld,4,1,4780000,1,0,1,1
2,1,3,2,3.0,231,1,2,252000,16,внедорожник,5,3,700000,14,0,1,1
8,11,2,1,1.9,140,1,2,178000,24,кабриолет,2,3,900000,22,1,1,2
1,6,2,1,4.4,560,5,2,67000,8,седан,4,3,2248000,6,0,1,3
1,4,2,1,2.0,184,2,2,129000,10,520i,4,2,960000,7,0,1,1
2,2,2,2,2.0,150,3,1,39196,4,18d,5,1,1670000,2,1,1,1
2,2,2,2,2.0,190,1,1,30048,5,20d,5,2,2255000,3,0,1,1
4,2,2,1,4.0,420,1,2,150000,12,купе,2,3,1550000,11,0,1,2
2,3,2,2,4.4,407,1,2,335000,12,50i,5,3,699999,10,0,1,1
2,1,3,2,4.8,355,1,2,172000,13,48i,5,2,1500000,11,0,1,1
1,1,3,1,2.0,184,1,2,125000,6,520i,4,1,1090000,6,0,1,1
1,3,2,2,3.0,313,1,1,45000,4,640d,4,3,2600000,3,0,1,1
2,6,2,2,3.0,249,1,1,97000,6,30d,5,2,2350000,4,1,1,1
2,2,2,2,3.0,245,1,1,135005,9,30d,5,2,1549000,9,0,1,1
1,5,2,1,2.0,150,1,2,594000,29,320i,4,3,350000,26,1,1,2
1,4,2,1,2.0,184,2,2,128000,8,320i,4,3,1090000,6,0,1,1
1,1,3,1,2.0,156,1,2,133000,14,320i,4,3,470000,11,0,1,1
3,5,2,1,1.6,136,1,2,96864,8,116i,5,1,768000,6,0,1,1
2,1,2,2,3.0,264,1,2,224700,13,30i,5,3,616000,12,0,1,1
2,2,2,1,2.0,150,1,2,149000,10,18i,5,2,630000,8,0,1,1
1,1,2,1,2.0,136,1,2,45000,11,318i,4,1,930000,9,0,1,1
2,4,2,2,3.0,249,3,1,56800,5,30d,5,2,2750000,5,0,1,1
2,6,2,2,3.0,235,1,1,365000,13,внедорожник,5,2,710000,12,0,1,1
2,3,2,2,4.4,555,1,2,67700,7,внедорожник,5,3,1840000,6,0,1,1
2,2,2,2,3.0,313,1,1,71082,6,40d,5,2,3547368,2,0,1,1
8,3,2,1,1.9,140,1,2,200000,24,кабриолет,2,3,599000,23,0,1,2
1,3,2,1,3.0,231,1,2,300000,17,530i,4,2,450000,15,0,1,1
2,2,2,2,3.0,265,1,1,110000,9,35d,5,1,1500000,9,0,1,1
1,6,2,2,3.0,320,1,2,98000,7,740Li,4,3,1099000,5,0,1,1
1,6,2,2,3.0,320,1,2,98000,7,740Li,4,3,1099000,5,0,1,1
2,1,2,2,3.0,235,1,1,167809,13,30d,5,3,1030000,11,0,1,1
2,4,2,0,1.5,136,4,2,21873,4,18i,5,1,1699000,1,0,1,1
1,3,2,2,3.0,320,1,2,89905,7,740Li,4,2,1699000,4,0,1,1
1,2,2,1,2.0,184,2,2,215000,10,520i,4,2,1100000,6,0,1,1
1,8,2,1,2.0,245,2,2,153000,8,328i,4,1,1100000,7,1,1,1
3,2,2,1,2.0,177,1,1,196000,12,120d,3,3,540000,11,0,1,1
2,1,2,2,3.0,306,1,2,77000,12,35i,5,1,1890000,8,0,1,1
1,2,2,1,2.0,245,1,2,229600,8,328i,4,3,1070000,8,0,1,1
2,3,2,2,3.0,306,5,2,56000,6,35i,5,1,2540000,3,0,1,1
1,1,2,1,2.0,184,1,2,93300,8,320i,4,2,1149000,5,0,1,1
2,8,2,2,3.0,231,1,2,167000,16,внедорожник,5,3,450000,15,0,1,1
2,3,2,2,3.0,249,1,1,22073,1,30d,5,1,3650000,0,0,1,1
2,1,2,2,3.0,326,1,1,6990,2,M40d,5,1,4600000,0,0,1,1
2,1,2,2,2.0,150,1,1,28247,4,18d,5,1,1870000,2,0,1,1
1,6,2,2,2.0,245,2,2,99900,6,528i,4,1,1350000,5,0,1,1
1,1,2,1,2.0,136,1,2,165000,11,318i,4,2,800000,8,0,1,1
2,1,2,2,3.0,306,1,2,85000,5,35i,5,1,2550000,4,0,1,1
4,3,2,2,3.0,320,1,1,11461,1,840d,2,2,5850000,0,0,1,1
2,2,2,2,3.0,249,2,1,65355,5,30d,5,2,2974000,4,0,1,1
1,6,2,1,2.0,184,2,2,131000,6,520i,4,2,1149000,6,0,1,1
1,1,2,2,3.0,320,1,2,162044,7,740Li,4,3,1200000,4,0,1,1
2,1,2,2,4.4,555,1,2,165000,10,внедорожник,5,3,1350000,10,0,1,1
1,1,2,1,2.0,190,2,1,105000,3,520d,4,2,2100000,2,0,1,1
4,1,2,1,3.0,258,1,2,153000,16,630i,2,3,600000,14,0,1,1
2,1,3,2,3.0,245,2,1,170000,9,30d,5,2,1600000,8,0,1,1
2,4,2,2,3.0,218,1,1,66014,6,25d,5,1,2364000,4,0,1,1
2,11,2,2,4.4,286,1,2,200000,20,внедорожник,5,3,490000,16,0,1,1
2,1,2,2,2.0,184,1,2,75100,5,20i,5,2,1400000,5,0,1,1
1,1,2,2,2.0,190,1,1,29820,3,520d,4,1,2300000,1,0,1,1
1,8,2,1,4.4,333,1,2,240000,17,545i,4,3,650000,15,0,1,1
1,1,3,1,2.0,184,1,2,102760,6,520i,4,2,1359000,5,0,1,1
2,1,2,2,2.0,150,1,1,22190,4,18d,5,1,1815000,2,0,1,1
2,6,2,2,3.0,218,1,1,192000,13,30d,5,3,700000,12,0,1,1
2,5,2,2,4.4,407,1,2,184000,12,50i,5,1,899000,11,0,1,1
2,2,2,2,3.0,249,1,1,6000,1,30d,5,1,5350000,0,0,1,1
2,1,2,2,3.0,249,1,1,10000,1,30d,5,1,6000000,0,0,1,1
2,5,2,2,2.0,184,1,1,205231,9,20d,5,3,912890,7,0,1,1
2,2,2,2,2.0,177,3,1,215435,10,20d,5,3,720000,8,0,1,1
2,7,2,1,2.0,150,1,2,21104,7,18i,5,1,805000,6,1,1,1
3,3,2,2,3.0,306,1,2,114000,10,535i,5,2,1240000,7,0,1,1
1,1,2,1,2.0,184,1,2,133652,6,520i,4,3,865000,6,0,1,1
1,3,2,1,2.0,184,1,2,89944,8,320i,4,1,1026000,7,0,1,2
7,1,2,1,1.8,116,1,2,379090,18,316i,5,3,300000,17,0,1,2
2,1,2,2,4.4,286,1,2,253000,20,внедорожник,5,3,500000,16,1,1,1
1,1,2,1,3.0,258,1,2,359705,17,530i,4,1,480000,14,0,1,1
2,2,2,2,2.0,192,1,2,43500,4,20i,5,1,1879000,1,0,1,1
2,3,2,2,3.0,381,1,1,83609,6,M50d,5,1,3399000,5,0,1,1
1,1,2,1,3.0,272,1,2,127040,12,530i,4,3,629000,11,0,1,1
4,1,2,1,3.0,231,1,2,132000,21,330i,2,3,260000,19,0,1,1
1,15,2,2,3.0,231,1,2,228000,21,330xi,4,3,410000,17,0,1,1
1,2,2,2,3.0,258,4,1,81000,6,530d,4,2,1950000,3,0,1,1
3,5,2,1,1.6,115,1,2,101740,12,116i,3,2,477900,9,0,1,1
1,1,2,1,3.5,235,1,2,250000,25,735i,4,3,365000,22,1,1,1
1,2,2,1,2.0,190,1,1,41000,3,520d,4,1,2190000,2,0,1,1
1,5,2,1,2.2,170,1,2,310635,19,520i,4,2,375000,16,0,1,1
2,2,2,2,2.0,192,1,2,5646,4,20i,5,1,2077600,0,0,1,1
4,3,2,1,5.0,507,1,2,50000,14,купе,2,3,1340000,11,0,1,3
2,1,2,2,4.8,360,1,2,192000,16,внедорожник,5,3,640000,13,0,1,1
1,1,3,1,2.0,156,4,2,175000,11,320i,4,3,720000,7,1,1,1
1,10,2,2,2.0,184,1,2,31100,4,320i,4,1,1820000,2,1,1,1
1,1,2,1,2.0,136,1,2,197000,11,318i,4,2,510000,11,0,1,1
3,3,2,1,1.6,136,1,2,102521,8,116i,5,3,728000,6,0,1,1
2,6,2,2,2.0,184,1,1,102178,7,20d,5,1,980000,5,0,1,1
1,2,2,1,2.0,136,1,2,170000,11,318i,4,3,720000,8,0,1,1
